Duration (in seconds),ResponseId,UserExp-AF,Request-AF,UserExp-PP,Request-PP,UserExp-AM,Request-AM,UserExp-AL,Request-AL,State,Law-Awareness,AttEnact-Disc,EnactExplain-Disc,ChangesExplain-Disc,AttEnact-Exp,EnactExplain-Exp,ChangesExplain-Exp,AttEnact-Req,EnactExplain-Req,ChangesExplain-Req,Age,Gender,Gender_5_TEXT,Ethnicity,Race,Race_6_TEXT,Education,Education_4_TEXT,PROLIFIC_PID,STUDY_ID,SESSION_ID,AppCategory,AppName
774,R_7n6p3hVFA0ILDk0,2,"1,2,4,5,6,7",1,"2,3,4,5,6,7",2,"2,3,5,6,7",2,"2,4,5,6,7",New York,"5,20,23,32",1,Companies should only take the info they really need and tell people why. This keeps everyone’s data safer and helps people trust the app or service more.,App developers will need to collect only the data that’s needed for the app to work. They’ll also have to clearly explain why they need that data.,1,Companies should only take the personal info they really need. This keeps people’s data safer and makes it easier to trust the company.,"App developers will need to only collect data they really need, explain why they need that data and let users choose what to share. They'll have to be more careful with people's info.",1,Companies should only collect what they need and tell people why. This keeps data safe and builds trust.,"They’ll need to ask for less data, explain why they need it, and delete it when it’s not needed anymore.",1,2,,2,2,,2,,60121fca666552254559110d,6806e80aa09de22ad716aebf,6806eab002f3efb597e93b98,photo and video,YouTube
796,R_1DUMAIZMdYVcsBM,1,"1,2,3,4,5,6,7,8",1,"3,5,7",1,"2,3,5,6,7,8",1,"1,3,4,5,6,7",South Carolina ,"5,6,7,20,26,46",1,"Companies should not use the data collected for any other purpose rather than the one they informed the users about, including sharing the data to third-parties.",Being explicit on the use of data and requiring the users to agree with data collection and usage,1,"It is important for companies to not exceed what the consumers would expect or are informed about the collection and use of their data.
",Provide terms and conditions explaining the data collected and the intended use,1,It is necessary to collect some data to aid in improving the services being offered to the client.,Include an opt-in feature or higher versions with more specific data collection requirements.,1,2,,2,2,,2,,67ddaac43fd14707f0f57c29,6806e80aa09de22ad716aebf,6806ea8d607783c168ff75f5,game,Roblox
762,R_7OiQnVWEpXSeWVW,1,"1,2,3,5,6,7,8",2,"2,5,6,7,8",5,"2,5,6,7,8",1,"1,2,3,4,5,6,7,8",Ohio,,1,Users should be thoroughly informed about what data is being collected and how it's being used.,Developers will have to make sure the language used to communicate how the data is collected is easy to understand and also thoroughly informative.,3,it's hard to tell what each consumer would reasonably expect.,Developers would have to anticipate different expectations from different minded consumers.,1,I think too many companies collect data that isn't related to the functionality of their website or app.,They will have to stop collecting data that isn't relevant to functionality.,3,1,,2,1,,3,,5d951ede9b6f880018f63b6e,6806e80aa09de22ad716aebf,6806ea8ef19bfe8efed1f119,food and drink,DoorDash
661,R_77IkVf28geK0sA4,1,"1,3,4,5",1,"1,3,4,5,7",1,"1,2,3,4,5",1,"1,2,3,4,5,6,7",Washington,5,1,Whatever a company plans to do with its data should be disclosed to the consumer.,Unsure.,1,Whatever a company does with its data should be done with a purpose that consumers would reasonably expect.,Unsure,1,Whatever a company does with its data should be proportionate to providing or maintaining a specific product or service to the consumer.,Unsure,4,1,,2,1,,5,,66eb8f1bb2f36d46387aa1b2,6806e80aa09de22ad716aebf,6806eb27a40e313fb25a2ca2,finance,Venmo
969,R_3uVyeVQIA9tC71w,2,"4,5",2,"5,6",2,6,2,"3,5,6",virginia,"5,20,45,47",1,I agree with this because I believe a data that is not necessary should not be collected.,No change,1,I agree to the data minimization because apps now adays ask questions that are not needed on the for no reason.,Nothing.,3,I feel in different about this because it going to affect the product audience.,nothing,4,2,,2,2,,2,,67bb656dc1e9bf4830163699,6806e80aa09de22ad716aebf,6806e9ee61f015b02dcb0e27,food and drink,DoorDash
885,R_7TQL20H8hsjjZVp,1,"2,3,4,5,6,7",2,"2,3,5,6,7",2,"2,3,4,5,6,7",2,"2,3,4,5,6,7",Massachusetts,"5,7,9,30",2,Companies should only collect data that is only necessary for what they're trying to achieve. They should not use this data for other purposes.,Maybe alter their privacy policy to reflect these changes.,2,They shouldn't go overboard with the data collected.,Alter their privacy policy.,2,Shouldn't use the data to advertise for other products.,Alter their privacy policy.,4,1,,2,2,,1,,6791a8549ed23cc3997dd33a,6806e80aa09de22ad716aebf,6806ea49a477e6b792a9bbcd,food and drink,DoorDash
1249,R_7EKNWIVDntea1m9,2,"2,4,5,6",2,"4,5",1,"1,4,5",2,5,Washington DC,"20,23,42,45",2,"This is because before collecting any personal data, a company must explain why they need it.",Developers must limit data collection to the minimum required to provide the service.,2,I believe that apps and services should respect user privacy by default.,Developers must review every data point their app collects and remove anything that isn’t essential for delivering the service.,1,This is because I believe Data privacy is very important.,Developers must ensure that apps only collect personal data that is strictly necessary to perform the specific service or function requested by the user.,4,2,,2,2,,1,,67ee875cf41fee35fe817ad9,6806e80aa09de22ad716aebf,6806e8cc000139c9932c6a99,photo and video,YouTube
867,R_6mn0Eu1Mas2CUuM,1,"1,2,3,4",1,"2,4,5",3,6,4,"1,3,5",NC,,2,They need to communicate what they are doing and it should only be related to what they say they are doing.,Limiting the things they ask for,2,There shouldn't be any hidden things app developers are trying to get from users,They will have to be upfront and transparent about what they are doing.,2,Protecting the consumer should be of utmost importance.,,4,2,,2,1,,5,,662fecef2a008847dc4f0d9b,6806e80aa09de22ad716aebf,6806ea553048252503df2250,food and drink,DoorDash
903,R_31sVwoNS7LTwZsD,1,"2,3,5,6,7",2,3,2,"2,5,6",1,1,California,5,1,"I think there have to be rules and regulations for online businesses and games, or they would take any information they could and sell it.",They would have to have an opt-in or opt-out button. They would need to make it more clear on what information they are actually collecting.,1,"In CA, there is a button on websites that says, ""no sale of personal data."" I'm not sure if it's the same in other states.","I would hope consumers wouldn't have to click the link""no sale of personal data"" every time we go to a website, and it would happen automatically.",1,"I don't like my personal information being sold, then I get junk calls and emails.",They would have to stop selling consumers information and perhaps reprogram some of their collection data.,4,2,,2,1,,6,,678c1488ff0634be2e0730c6,6806e80aa09de22ad716aebf,6806ea54945ddcf38cff8f05,game,Roblox
952,R_7gMaZlUQDlzzNZU,2,"5,6,7,8",2,"2,5,6,8",2,"3,5,6,7,8",1,"1,2,3,4,5,6,7,8",Arizona ,"3,6,9,43",1,Because every individual has the right to privacy and I don’t think is nice that the app collect more information than they need ,"They will have to change a lot of the way the apps are already configured, but in specific I don’t know what they will have to change, for sure the terms and conditions ",1,Yes because they shouldn’t collect more than needed and it should be used only for make ithings better for the users ,I guess modify the terms and conditions ,1,Because it protects user’s privacy ,They will have to delete the extra data they have ,3,1,,2,1,,2,,613929236e3092c6bad219ab,6806e80aa09de22ad716aebf,6806ea287bfaca07b13dc71b,shopping,Walmart
816,R_7nNHShmd8eF8XSz,1,"1,2,4,5",1,"1,2,3,4,5",2,"1,2,4,5",2,"1,2,4,5",Tennessee,,2,people want to know how their data is being used,none,3,I am not sure,don't know,2,too much of our data is collected and used,Don't know,5,2,,2,1,,3,,666ca8f24bc3a8e75b8f6ee2,6806e80aa09de22ad716aebf,6806ea65cfb3b599da3f32a1,food and drink,DoorDash
469,R_6pu9uKbljJUtnLk,1,"1,2,3,4,7",1,"2,3,6,7",1,"4,5,6,7",1,"1,2,3,4,5,6,7",Michigan,,1,"Greater privacy for the consumer, more security.",stop monitoring key strokes and other analytics used. ,1,Its understandable companies need to collect some data points but ultimately it should be within reasonable and stated bounds. ,listen to consumer feedback on data collection and enact policies that are shape by feedback,1,"in order to maintain the apps and products used, data collection is imperative for security and other functions.  This would limit data collection to bare bones essentials. ",gut certain tracking features and analytics gathering ,2,1,,2,1,,6,,66d981a72dee743557188f95,6806e80aa09de22ad716aebf,6806ec15d2a8dcc58cb63f1f,game,Roblox
838,R_1dsQsJz5Lo2ggS8,1,"1,2,3,4,5,6,7,8",2,2,2,"1,2",1,"1,2,3,4,5,6,7,8",north dakota,"5,20,42,45",2,"I agree because it promotes transparency by requiring companies to tell users why their data is being collected. As long as users are clearly informed, they can better understand and decide whether they’re comfortable with it.

",Developers will need to be upfront about why they’re collecting data and make sure it matches what they tell users. They may need to rewrite privacy policies and cut out any data collection that isn’t tied to a clearly stated purpose.,1,"I agree because it protects user privacy while still letting apps function. It makes sure companies don’t collect data people wouldn’t expect, which builds trust without requiring users to understand complex policies",Developers will need to limit data collection to what's clearly tied to the app’s main purpose. They may also need to remove unnecessary permissions and make sure their privacy practices match what users would expect.,1,"I strongly agree because this regulation is very clear and strict, which better protects user privacy. It makes sure companies only collect data that’s actually needed for the product or service the user asked for, nothing extra.","Developers will have to stop collecting any data that isn’t essential to the core function of the app. They’ll need to remove unnecessary trackers, review permissions, and avoid using data for things like ads or analytics unless it's directly related to the service the user requested.",1,2,,2,1,,5,,679019069cfcf2f5ba2d4f1f,6806e80aa09de22ad716aebf,6806eaa64594bea5917a0b74,shopping,Walmart
667,R_3zwHciPA8cbwjm9,2,"2,4,5,7",2,"2,3,4,6,8",2,"3,4,6,7,8",1,"1,2,3,4,5",Ohio,"2,3,5,21,23,32,35,42,43,47",3,n/a,n/a,3,n/a,n/a,3,n/a,n/a,2,1,,2,1,,2,,67cfbb1905a3cee07823adec,6806e80aa09de22ad716aebf,6806ea3775e1d6bd5d16bcea,photo and video,YouTube
1004,R_3m6mx5NG5c9Eh9f,2,"6,7,8",2,"6,7,8",2,"6,7,8",2,"6,7,8",Alabama,,1,"companies should disclose their data collection practices to their customers, and should not go over and beyond what they disclose.","they should be open and transparent as to which data they want to collect and give the customers the freedom to accept or decline the intention,",1,"Regardless of whether a customer agrees to it or not, data collection should be done to a treasonable extent that would be widely acceptable by all users.",They should adjust their data collection regulations to reflect common acceptance.,1,"Data collection should be done in a way that is agreeable to the customers, for instance to provide or maintain a function that is widely requested by the customers.",They should personalize app features to suit individual customers' needs.,2,2,,2,2,,1,,67f1d446157e95df044d2f8c,6806e80aa09de22ad716aebf,6806ea0cf67a00d483fe8fdb,game,Roblox
837,R_137syGVVwquEZ1p,1,"1,2,3,4,5,6,7,8",1,"2,3,4,6,7",5,3,1,"1,2,3,4,5,6,7",Florida,"20,23,46",1,Enacting the regulation safeguards consumer's privacy and ensure that they are aware of how their information is used. ,Provide full disclosure of how the consumer's data is collected and used. ,1,Enacting the regulation prevents consumer's exploitations through unethical use of their data.  ,Make the data collection in the app only necessary when obtaining crucial data needed to run the app and meet the consumers' needs.,1,Enacting data minimization laws ensures user's privacy and safety is guaranteed and minimizes unethical use of individuals' data. ,Only correct essential data and provide full disclosure of how the data is used. ,2,1,,2,1,,1,,67f08fe4e63319ca9198955f,6806e80aa09de22ad716aebf,6806eaaa3a6e20e712ff8f71,finance,Venmo
941,R_7D0BDUvd9RnVh3a,2,"1,2,4,5",1,"2,3,4,6,7,8",1,"3,7,8",2,"3,4,6",Pennsylvania,38,2,"I believe that everyone has a right to their privacy, and companies should not be able to just collect whatever data they want on a consumer just because they are using a product.",Apps could not show personalized ads to consumers if they are not able to collect as much data.,2,"I think customers would expect that certain data be collected, but not superfluous data just so ads could be shown.","I think they would have to state in their apps specifically what data would be collected, and also state that this data is the minimal amount that they are required to collect to ensure successful operation of the app.",2,"I believe companies should only collect as much data for their all to be able to run properly, and no more after that.",I do not think apps should store a ton of data on consumers that they do not need so that they can just bombard individuals with advertisements.,3,1,,2,1,,2,,558ab509fdf99b65685f024e,6806e80aa09de22ad716aebf,6806ea4ecae4cf04e17c9c03,shopping,Walmart
1018,R_7CN6dUGibBEfrRR,2,"2,4,5",2,"2,4,5",1,"1,2,3,4,5,6,7",1,5,California,5,1,Yes this is a good example of this and it should be enacted. ,We should force this by way of a digital bill of rights.,1,"I think that tech companies in general have too much control over our data and we should have full authority to minimize it whenever possible, up to and including not allowing in to begin with, while also not being restricted from using an app. ","Being forced to by way of a digital bill of rights. They have shown that they will overstep and do whatever they want, if we do not legislatively limit them. ",1,I think that this is a worthwhile limitation. ,I think that this is a worthwhile limitation and that we need legislation to force it.,4,1,,2,1,,2,,656330bce859fe9d4d59f7cd,6806e80aa09de22ad716aebf,6806ea091d558881556385f6,shopping,Walmart
858,R_1p3HJ8ebUPw786z,1,"6,7",2,"6,7,8",5,"6,7,8",2,"6,7,8",North Carolina,"5,21,32",3,I’m not sure how to think since I don’t know what is the purpose they disclose is. It really depends on the purpose and this regulation is too vague.,Just be very clear with the purpose and the type of data being collected so consumers can make informed decisions.,1,Personal data should be very very private and no one wants to have their data collected unless it’s proportional to what consumers expect and nothing beyond that.,App developers will have to request consumers approval before collecting any data and nothing is allowed without approval. The request will have to include what kind of data being collected and what they are for.,1,Same as previously stated. Data is very private and personal. It should only be collected if it serves as a tool to maintain or provide a service requested by customers,App developers will once again have to request everytime they collect data with clear note of what being collected and how can it help with provide or maintenance of services.,2,2,,2,4,,1,,6730214557beb89aa16e74c2,6806e80aa09de22ad716aebf,6806eaaaa5bd41bf6248e14f,finance,Venmo
855,R_1e993L3Xycx578t,1,"1,2,3,4,5,6,7",2,"5,6",4,"5,7",1,"3,5,6,7",Pennsylvania,,2,I think companies should be forthright about why they collect data and it should be the minimum necessary.,They would have to rethink the invasive and excessive permissions that their apps require.,4,This is also vague. What would consumers know about data collection?,None. They could justify any kind of personal data collection by deeming them reasonable.,3,"This proposal seems vague to me. It feels like the app developer can make any reason fit into 'maintaining"" the app.","They might have to justify some permissions, but the language doesn't seem very concrete.",4,1,,2,1,,5,,615d2de8bfd11d57af47423a,6806e80aa09de22ad716aebf,6806eaadcddf058ccdcc3d42,food and drink,DoorDash
949,R_3OPPim1j6ZBazn0,1,"1,4,5",5,3,3,7,1,6,Texas,,1,I feel they should only take the data which is needed,The companies should only take data which is needed,1,As consumers we should not have to worry about our privacy being invaded.,Make all of the necessary changes so that consumers rights aren't violated,1,I don't feel it's right for companies to collect unnecessary data from consumers. ,Make changes so that unnecessary data isn't collected from consumers,4,2,,2,2,,2,,66f578343a3ef5afed111fb9,6806e80aa09de22ad716aebf,6806ea422ff55ff10d97e767,finance,Venmo
767,R_77edtD1RrP0roBf,1,"1,3,5,6,7",2,"6,7",1,"6,7",2,"6,7",Florida,5,2,I believe if companies are going to collect data then the consumers should know exactly what their data is going to be used for.,How they collect data,2,I believe the only data that should be collected it what is expected and not more unless given permission,They would have to change how they collect data,3,I don't know enough about it.,What data can be collected,2,2,,2,1,,3,,60fe58dabcac84f95b003aa0,6806e80aa09de22ad716aebf,6806ea3cbb6b1708bdbed430,shopping,Walmart
993,R_7QaR708XYLoBUIe,1,"2,3,4,5",2,"2,3",2,"2,3,7,8",1,"2,3,5",AL,,2,It helps protect people’s privacy and makes companies be honest about why they collect data.,Developers will need to explain their reasons for collecting data and stop gathering anything extra.,2,It protects people’s privacy and stops apps from taking too much info.,Developers will collect less data and ask only for what’s needed.,2,It keeps companies from taking extra data people don’t need to give.,App makers will need to stop collecting extra info and only ask for what’s needed to run the app.,2,1,,2,1,,3,,63474e67a5fd298c6103c409,6806e80aa09de22ad716aebf,6806ea2ab0f356a225784c3a,game,Roblox
1049,R_7U9Cv02kmo0fgdz,1,"1,2,3,4,5,6,7,8",1,"1,2,3,4,5,6,7,8",1,"1,2,3,4,5,6,7,8",1,"1,2,3,4,5,6,7,8",Georgia,"5,6,20,26,45,46",1,"The regulation above will enhance transparency of the purpose why consumer data is being collected, as well as ensuring minimal data collection appropriately.","To create data collection input fields that are only necessary, and clearly communicate the purpose of data collection through emphasis such as bold text and large font.",1,The regulation should be enacted to ensure consumer are not ambushed by new information requests and to maintain work-related morals.,Always inform and remind consumers about the data that will be requested from them.,1,This regulation should be enacted because it will ensure consumers will legally get value for their purchases through processes such as maintenance as well as provision of quality services from suppliers.,To ensure contact information is always available on all end-user platforms.,1,1,,2,2,,6,,67f09ad02524e8b1d810e0a4,6806e80aa09de22ad716aebf,6806ea01eb08cc5e47ad9dbd,food and drink,DoorDash
930,R_125w4sS8z17HK8l,1,"2,3,4,5,6,7,8",1,"3,4,5,6,7",1,"1,3,4,5,6",1,"1,4,5,6,7,8",New York,"5,6,7,37,46",2,The consumers should be aware of the data being collected by the company,Create a consent ,2,Companies should collect expected data from the comsumers,They should not act ultra-vires in data collection ,2,Some app features require certain data to be collected from the consumer and so the company should not act beyond this,Be specific and not ambinguous with the consumer,1,2,,2,1,,1,,67ee4b7a1033ee4e05341386,6806e80aa09de22ad716aebf,6806ea9a710210aa6b3fce0f,food and drink,DoorDash
944,R_1flbxYWKHRAUJ5S,2,1,2,3,1,1,2,3,Ohio,"32,33,40,43,46,48",2,"**Agree.**

This regulation strengthens consumer privacy by requiring companies to collect only the data they truly need for a specific, disclosed purpose. It promotes transparency, reduces the risk of data misuse, and encourages responsible data handling—ultimately benefiting both users and the digital ecosystem.","App developers will need to limit data collection to only what’s essential for the app’s core functions. They must audit existing data practices, update privacy policies, remove unnecessary tracking tools, restrict data sharing, and ensure clear, purpose-specific user disclosures. Optional data uses will require explicit consent.",1,"**Agree.**

This regulation protects consumer privacy by ensuring that companies collect only the data needed for purposes users can reasonably expect. It prevents overreach, builds trust, and encourages transparency and accountability in data practices, which is especially important in today’s data-driven digital environment.","App developers will need to assess and limit data collection to what users would reasonably expect for the app’s core functions. They must revise privacy policies, remove excessive tracking, gain explicit consent for optional data uses, and ensure transparency about why each type of data is collected.",2,"This regulation promotes a clear and consumer-focused approach to data minimization by limiting data collection strictly to what is necessary for providing or maintaining a specific product or service requested by the consumer. This ensures that companies cannot justify excessive or unrelated data collection under vague or broad purposes, thus enhancing consumer privacy, trust, and autonomy.

It also aligns closely with the principle of purpose limitation—a key component of responsible data governance—and encourages companies to define and limit their data practices more narrowly and transparently.","App developers must minimize data collection to only what's essential for providing the requested service. This requires auditing data practices, limiting retention, updating privacy policies, restricting third-party access, and ensuring clear user disclosures. Non-essential data collection, especially for analytics or marketing, must be eliminated or require explicit user consent.",3,2,,2,1,,1,,67f190244525cfea0f0aa1a9,6806e80aa09de22ad716aebf,6806ea7f34fa2b2c7d3b01ee,photo and video,YouTube
1097,R_7EuvRDwmBkRobIo,1,"1,2,3,5,7",3,"1,2,6,7,8",2,"1,2,5,7",1,"2,4,5,6,7,8",California,5,2,companies should disclose to the consumer what type of data they are collecting,they will have to disclose to the customer what data they are collecting,1,Companies should stop collecting all data and restrict data collection to what is reasonably necessary and proportionate to a purpose that consumers would reasonably expect,app developers would need to stop collecting all user information and determine what is reasonably necessary and proportionate to a purpose that consumers would reasonably expect,2,companies should limit data collection to what the app needs to provide the service that the customer sined uo for and not collect data that the company can use to track other user activity .,developers will need to limit data collection for the apps intended purpose ,4,1,,2,1,,2,,678f0bb28ec3307e4f1afb78,6806e80aa09de22ad716aebf,6806e9fbb1a12a1473be991b,food and drink,DoorDash
926,R_13TQZSxGaTH4IuE,3,"5,6,7",2,"2,3,5,6,7,8",2,"3,5,6,7",1,"2,3,5,6,7,8",California,"5,6,7,8,14,15,26,29,30,37,42,43,44,46",1,"Limiting data collection to what is necessary for a disclosed purpose enhances transparency and consumer trust. It ensures companies aren’t collecting unnecessary or excessive data, which helps protect user privacy and reduces the risk of data misuse.","App developers will need to review their data collection practices and ensure that they only gather data necessary for the purpose disclosed to users. They may need to update their privacy policies and obtain clear consent, making sure users understand why specific data is being collected and how it will be used.",1,"I think this regulation is really important because it ensures companies don’t take more personal data than necessary. If the data collection aligns with what consumers reasonably expect, it builds trust and makes users feel more comfortable. It’s about keeping things simple and transparent, which is crucial for privacy in today’s digital world.","App developers will probably need to rethink the kind of data they ask for. They’ll have to make sure they’re only collecting what’s needed for the app’s core features and what users would naturally expect. This could mean updating privacy policies to be clearer, asking for less intrusive data, and generally being more transparent about why certain data is being collected. It’ll also help if users have control over what they share.",1,"I strongly agree with the regulation because it ensures that companies only collect data necessary for the service requested by the consumer. This promotes privacy, reduces unnecessary data collection, and builds consumer trust. It aligns with global standards like the GDPR, which prioritize minimizing data to reduce privacy risks.","App developers will need to reassess their data collection practices to ensure they only collect data necessary for the app’s core functionality. They’ll need to update privacy policies, revise consent processes, and possibly limit data retention. Features that collect personal data may need to be adjusted to avoid over-collection, and developers might have to give users more control over what data they share.",3,1,,2,1,,1,,67e82c21b8b6ba5a2db07c21,6806e80aa09de22ad716aebf,6806eaa9e473145eb38b28c9,finance,Venmo
1010,R_59uJdAxWIRowC5i,2,"1,3,5",2,"4,5",2,"3,6",2,"5,6",Texas ,"5,20,45",2,The data will be kept safe and secured with no danger ,The agreement and the purpose will be fulfilled ,2,With that the information will be safe and minimized to be publicly out,Limit the intake of information ,2,There will be no danger of information or data being made public,Ensuring that the customers are treated and given what they requested for ,2,1,,1,6,Latino ,2,,67dd40b531ab9c33ff61e98e,6806e80aa09de22ad716aebf,6806ea5ec9174aa7a884d527,photo and video,YouTube
1033,R_5UCCopUoONZsIY9,1,"4,5,6,7",1,"3,4,5,6,7",1,5,1,"1,3,4,5,6,7",Minnesota ,"5,6,7,37,44,46",1,companies should limit collecting personal data unless there is something specific and they should disclose it to consumers,Make prompts that ask permision for consumer consent,1,Personal data collection should be for the purpose that consumer understand and accept,Give good explanation for the purpose of the data collection,1,Limit personal data collection to what is reasonable to service or product requested by customers.,Give room for consumers to make there specifications ,2,1,,2,2,,2,,67dde6a93fd14707f0f58801,6806e80aa09de22ad716aebf,6806ea28ce2ba22224fb4daf,photo and video,YouTube
1046,R_7DPudFviFMCgCVb,2,5,1,3,2,3,1,"2,3,4,5,6,7",Arkansas,47,2,because customers could risk losing their data,limiting data collection,2,consumers could risk losing their data,limiting data collection,2,because many consumers could risk losing their data,limiting data collection,2,1,,2,1,,1,,67f30d316ed0051ae37f9898,6806e80aa09de22ad716aebf,6806ea3ba77fdad4dd3ed773,photo and video,YouTube
1056,R_6gucXv6rP1MYdp4,1,"1,2,3,4,5,6,7",1,"1,2,3,4,5,6,7",1,"2,3,5,6,7",1,"1,2,3,4,5,6,7",Virginia,,1,people should always clearly know when their data is used,"I dont think it will be difficult, a simple pop up with the user either opting-in/out, followed by confirmation, and e-mail of the selection",5,reasonably expect is to broad and different interpretations ,none,1,"data use should only be limited to the use of the product, any other use should be authorized by the user and not an implied use","before data is used for anything else besides the product, authorization should be clearly asked for from the user",3,2,,1,3,,1,,663176c4d9c9b4d919f7b79e,6806e80aa09de22ad716aebf,6806ea37d86f92ac54843559,photo and video,YouTube
1044,R_5ih4nwxRK0zE3uR,2,7,2,"5,6,7",2,7,2,"5,6,7",Georgia,,2,I think they should only collect so much data,I'm not sure,2,I expect some of my data to be collected but if it records every key stroke then I feel taken advantage of,"I'm not sure, I don't know enough about it to say",3,not sure about this one,I don't know,4,2,,2,1,,3,,61bb392e40db417c1a138dcb,6806e80aa09de22ad716aebf,6806ea4637c161bb39ce8c15,game,Roblox
1068,R_7pf28mNJLbmC9Y4,2,"1,2,3,4,7,8",1,"1,2,3,4,5,6,7,8",1,"1,2,3,6",1,"2,3,6,8",NEW YORK,"20,42,45",2,It holds companies accountable for collecting only the data that is truly necessary and ensures they are transparent with consumers about how and why their data is used. ,Enhance Data Governance: There may be a need for stronger internal controls and regular audits to ensure ongoing compliance with data minimization standards.,4,It helps protect consumers by ensuring that companies collect only the personal data that is necessary and expected for a given service.regulations brings transparency,"Reduce Unnecessary Data Collection: Any data not directly needed for the app’s main functions should be removed or made optional, especially data collected for marketing or analytics.

Revamp Permissions and Onboarding Flows: Apps will need to ask for user permission in a more transparent way, explaining why each type of data is being requested and how it supports the service",2,"It prioritizes consumer privacy by ensuring that companies only collect the personal data truly needed to deliver a specific service, which helps reduce the risk of data breaches and misuse. ","Add User Controls: Developers may need to implement more granular user permissions, allowing people to opt in or out of non-essential data collection.

Implement Data Retention Limits: Apps should automatically delete data that is no longer needed for the requested service, rather than storing it indefinitely.

",2,1,,2,1,,1,,67e0ae7fda2e47eafce0f5f4,6806e80aa09de22ad716aebf,6806ea30f507c0e0325fe901,food and drink,DoorDash
1051,R_5a0KrSEXmoEbnRT,2,"5,6,7,8",1,"2,3,4,5,6,7,8",5,"6,7,8",2,"3,4,5,6,7,8",New York,"5,6",1,I agree because it strenghtens user privacy and trust.,Updating privacy policies to clearly explain what data is collected and why.,1,"This protects users from intrusive data collection. This promotes transparency, reduces the misuse of data and encourages companies to be more thoughful and intentional about what they collect.",App developers need to eliinate any data collection that doesn't align with the users expectations.,1,This ensures that comapnies respect consumer privacy by collecting only what is necessary. It reduces the risks of data breaches and promotes responsible data use.,App developers need to strengthen their data retention and deletion policies.,2,2,,2,1,,1,,67d73a1bf86c2c0f5aa5102e,6806e80aa09de22ad716aebf,6806ea35f35dbb1e4dd44b41,food and drink,DoorDash
1132,R_6QDd7ABsMhtfOrS,1,"6,7,8",4,"6,7,8",2,"6,7,8",2,"6,7,8",california,"5,32",1,Consumers deserve if their data is being harvested,Popups in app telling them what data is being used,4,It is so vague that it shouldnt be enacted,Basically none,1,"I believe user data is very valuable. That is the reason these developers want to collect as much as possible. If they want to use our data, they should at least have to purchase it from us. ",They will have to be very open with what data they collect and how they data is being used in the app,2,1,,2,1,,1,,63615d4c2e78db0f23208397,6806e80aa09de22ad716aebf,6806e9bb60f06c4a4d90d1d5,finance,Venmo
1351,R_11CSDpjFV6sBsiJ,1,"2,4",2,"2,3",2,"1,2,4,5,6",1,"2,3",California,"5,21,32,47",1,"I strongly agree on this one since companies are collecting our data and selling it to other companies, Consumers should be aware of this and have control over it. ","Allow consumers to fully decline, allow at certain limitations or fully grant permission. ",1,"Data collected to be used for target advertising should be minimized to a certain level that the consumer expects. Like if you use Venmo and ads like Robinhood, Fidelity and other related companies keep on popping to your ads, it should be controlled and limited. ","Allow consumers to fully decline, allow or partially give permission. ",1,"Data collection should only be done (at minimum) if the consumer uses a specific product or service. If the consumer isn't using the product or service, data collection should not be done. ",Ask for permission only if the consumer are using the product or service. ,3,1,,2,4,,2,,63ed2333198aa6f8fd436c18,6806e80aa09de22ad716aebf,6806e92c2d8ce39b5fb45bc7,finance,Venmo
824,R_5kVUSTFEdHuV8Hf,2,"1,2",4,"1,2,3",1,1,2,"1,2,3,4",GEORGIA,10,2,getting information to the consumer,none,2,satisfying the client,none,2,Just to limit the data given ,none,3,1,,2,1,,1,,67e089e7822d32764647ccb0,6806e80aa09de22ad716aebf,6806ea9aaeab5e1e2bcccd23,food and drink,DoorDash
1095,R_7mhX57xrXpQMe65,4,"3,6",2,"4,5,7",4,"5,6",2,"5,6",North Carolina,"5,6,33,46",2,I chose 'Agree' because I think it’s a good thing when companies are required to be upfront about why they’re collecting our data. That kind of transparency helps people make more informed choices.,"Developers would need to clearly explain the purpose of every piece of personal data they collect, right in the privacy policy or during onboarding.",2,"I think the data minimization regulation makes a lot of sense because it helps protect people’s privacy. If companies are only allowed to collect the data they truly need to do their job, it reduces the chances of them over-collecting information, which could be misused or put at risk.","Developers will need to make sure their privacy policies are clear and straightforward. Users should understand exactly what data is being collected, why it’s needed, and how long it will be kept. ",1,"I strongly agree with the data minimization regulation because it ensures companies only collect the personal data they actually need to provide the service or product you’ve asked for. This helps avoid unnecessary data collection, which means your personal information is kept more secure and isn’t used for things you didn’t expect.","Apps may need to offer users more control, such as options to access, modify, or delete their data. If a user no longer wants their data stored, developers will need to ensure they can easily delete it from the app’s systems.",1,2,,2,2,,1,,67e1987bfcd1bdc87b41478a,6806e80aa09de22ad716aebf,6806ea2e41ac129259d8aab7,food and drink,DoorDash
